as	  dauchchea	  pen
call	  kar haw	  oth
first	  chealeukdambaung	  khangthoaid
who	  del	  phuthi
may	  ach	  adcha
down	  choh	  long
side	  pheaki mkheang	  khang
been	  ban	  dai
now	  ilauvnih	  naipadchuban
find	  svengork	  sokha
head	  kbal	  hua
stand	  chhr	  yun
own	  phtalkhluon	  khongtonoeng
page	  tompr	  na
should	  kuor	  khuan
country	  bratesa	  pathed
found	  ban rk kheunh	  phob
answer	  chamleuy	  khoatob
school	  salarien	  ohnghian
grow	  kar kaenlaeng	  kankhajaitua
study	  karseksaea	  kansuksa
still	  nowte mean	  nyang
learn	  rien	  hianhu
plant	  rongochakr	  phud
cover	  komrob	  kan pokhumkhong
food	  ahar	  ahan
sun	  preahatity	  aesngtauaen
four	  buon neak	  si
between	  rveang	  lavang
state	  rodth	  lad
keep	  roksaa	  haksa
eye	  phnek	  ta
never	  mindel	  bokhoeny
last	  chongokraoy	  sudthai
let	  anounhnhat aoy	  hai
thought	  kitthea	  khidva
city	  tikrong	  nakhon
tree	  daem	  penmai yunton
cross	  chhlangkat	  ka
farm	  ksedthan	  kankasikoa
hard	  kar lombak	  nyak
start	  kar chabphtaem	  kanloemton
might	  ach	  adcha
story	  rueng	  leuong
saw	  kheunh	  hen
far	  chhngay	  kai
sea	  samoutr	  thale
draw	  kour	  aetm
left	  chakchenh	  vai
late	  chong	  thai
run	  kar rt	  kandoanoenngan
don't	  thveu minban	  hedbodai
while	  khn pel del	  naikhanathi
press	  sar p tr mean	  nangsuphim
close	  chitasnetth	  kaisid
night	  yb	  naitonkangkhun
real	  pitabrakd	  aethching
life	  chivit	  sivid
few	  bonman	  bo raipandai
north	  pheak khangcheung	  phakhenu
book	  sievphow	  pumban
carry	  anouvott	  patibadkan
took	  ban yk	  dai
science	  vityea sa sr t	  vithanyasad
eat	  briphok	  kinoahan
room	  bantob	  hongkan
friend	  mittaphokte	  mupheuon
began	  chabphtaem	  loemton
idea	  koumnit	  aenuakhuaamkhid
fish	  trei	  pa
mountain	  phnom	  phu
stop	  banhchhob	  yudsaokan
once	  mtong	  khang
base	  moulodthan	  than
hear	  lyy	  nyin
horse	  seh	  ma
cut	  kat	  kantad
sure	  brakd tha	  haiaenchaiva
watch	  meul	  sangkedboeng
color	  pnr	  si
face	  moukh	  baina
wood	  chheu	  mai
main	  da saamkhan	  tonto
open	  kar baek chamhr	  poed
seem	  hakdauchchea	  boengkhuva
together	  ruomoknea	  huamkan
next	  banteab tiet	  topai
white	  pnrsa	  sikhav
children	  komar	  deknony
begin	  chabphtaem	  loemton
got	  ttuol ban	  daihab
walk	  daer	  nyang
example	  u tea hr na	  kannyoktuayang
ease	  banthourobanthoy	  khuaam ngaikhong
paper	  kradeasa	  cheny
group	  krom	  kum
always	  tengte	  sahemipai
music	  tantrei	  donti
those	  anak del	  phu
both	  teangpir	  thangsong
mark	  sanhnhea	  kheuongmai
often	  chea nhuknheab	  mak
letter	  likhet	  chodmaisabab
until	  rhautadl	  chonkuaa
mile	  mea	  mai
river	  tukatonle	  noa
car	  rothayont	  lod
feet	  cheung	  tin
care	  kar theroksaa	  kanduael
second	  leuk tipir	  khangthisong
enough	  krobkrean	  phiangpho
plain	  thommotea	  thongphiang
girl	  kmengosrei	  sav
usual	  thommotea	  pokkati
young	  vyokmeng	  num
ready	  triemokhluon cheasrech	  phom
above	  khangleu	  khangthoeng
ever	  minothleab mean	  khoeny
red	  pnrkrahm	  siaedng
list	  banhchi	  bansilaisu
though	  tohbeicha	  thoengaemnva
feel	  mean arommo tha	  khuaamhusuk
talk	  karpipheaksaea	  kansonthana
bird	  baksaei	  noksanid
soon	  chab	  vai theoathicha
body	  reangkay	  hangkai
dog	  chhke	  ma
family	  krom kruosaear	  khobkhua
direct	  daoy phtal	  odnykong
pose	  bangk	  sang
leave	  touk aoy	  kchak
song	  batochamrieng	  pheng
measure	  veasa	  kanvadaethk
door	  tvear	  patu
product	  phlitaphl	  phalidtaphan
black	  pnrkhmaw	  sidoa
short	  khlei	  san
numeral	  lekh	  choanuanlai
class	  thnak	  honghian
wind	  khyal	  phalangnganlom
question	  saamnuor	  khoatham
happen	  kaetlaeng	  mijangkoedkhun
complete	  penhlenh	  soaledsombun
ship	  neavea	  kankhonsong
area	  tambn	  khedphunthi
half	  peak k ntal	  khoengnung
rock	  ro k	  hin
order	  kar banhcheatinh	  khoasang
fire	  phleung	  fai
south	  pheak khangotbaung	  khedphaktai
problem	  banhhea	  banha
piece	  dom	  sin
told	  ban brab	  bok
knew	  ban doeng tha	  hu
pass	  hoch	  phan
since	  chabtangpi	  nabtangaet
top	  kampoul	  thangthoeng
whole	  teangmoul	  thangmod
king	  stech	  khon
street	  tamophlauv	  thanonhonthang
inch	  ainh	  niv
multiply	  koun	  viphonpaojd
nothing	  kmeanoavei	  bomijang
course	  pit nasa	  aennon
stay	  snak	  yu
wheel	  kng	  khablod
full	  penhlenh	  yangtemthi
force	  kamleang	  phonbangkhabsai
blue	  khiev	  sifa
object	  vottho	  chudpasong
decide	  samrechchett	  tadsinchai
surface	  phtai	  dan
deep	  chrow	  loek
moon	  preahchnt	  vongdeuon
island	  kaoh	  ko
foot	  cheung	  tin
system	  brapnth	  labob
busy	  rovl	  thulakid
test	  kar thveutest	  kanthodsob
record	  kamnttra	  kanbanthuk
boat	  touk	  heu
common	  chea rueng thommotea	  thouapai
gold	  measa	  khoa
possible	  ach thveu ban	  penpaidai
plane	  yontohaoh	  nyon
stead	  chomnuosa	  singthi samad noakabma
dry	  snguot	  aehngaelng
wonder	  chhngal	  sing mahad
laugh	  saech	  hualin
thousand	  pean neak	  phan
ago	  moun	  konnani
ran	  rt	  daiaeln
check	  pinityameul	  haikuadboeng
game	  kar leng hkem	  kem
shape	  roubreang	  hubhang
equate	  smae	  venook
hot	  ktaw	  hon
miss	  bat	  phad
brought	  nea yk	  dainoaoao
heat	  kam daw	  khuaamhon
snow	  pril	  hima
tire	  saambk kng	  meuony
bring	  nea yk	  aomahai
yes	  bat	  aemnaelv
distant	  chhngay	  hangkai
fill	  bampenh	  tum khomunsai
east	  khangkaet	  phaktauaenook
paint	  kour	  thasi
language	  pheasaea	  phasa
among	  knongchamnaom	  naibanda
unit	  angkopheap	  nuanybolikan
power	  amnach	  phalangngan
town	  tikrong	  tuameuong
fine	  kar phakpiny	  andingam
certain	  cheakleak	  saphodainung
fly	  karhaohhaer	  bin
fall	  thleakchoh	  toklong
lead	  noam	  noapaisukan
cry	  yom	  hai
dark	  ngngut	  soa
machine	  measain	  kheuong
note	  chamnam	  maihed
wait	  rngcham	  lotha
plan	  phenkar	  aephnkan
figure	  tuolekh	  hub
star	  tara	  dav
box	  braab	  mai sainaipong
noun	  neam	  phasa
field	  veal	  phaksanam
rest	  nowsal	  suanthiheu
correct	  troemotrauv	  pai
able	  ach	  samad
pound	  phaon	  ponkab
done	  thveu	  hed
beauty	  samrosa	  khuaamngam
drive	  dray	  khab
stood	  chhr	  daiyunyu
contain	  mean	  banchu
front	  phnek khangmoukh	  na
teach	  bangrien	  son
week	  sa bta	  athid
final	  chongokraoy	  sudthai
gave	  ban phdal aoy	  hai
green	  pnrbaitng	  sikhiav
oh	  au!	  ony
quick	  rhsa	  vai
develop	  kar aphivodth	  kanphadthana
ocean	  samoutr	  mahasamud
warm	  ktaw	  obun
free	  daoy itkitathlai	  nlain
minute	  neati	  nathi
strong	  yeang khlang	  thikhemaekhng
special	  pisesa	  phised
mind	  chett	  chai
behind	  now pikraoy	  lang
clear	  chbasaleasa	  chaaechng
tail	  kantouy	  hang
produce	  phlit	  phalidtaphan
fact	  chea karpit	  khuaamching
space	  chanloh	  song
heard	  lyy	  dainyin
best	  la bamphot	  thidithisud
hour	  maong	  souaomng
better	  kante brasaer laeng	  dikva
true	  chea karpit	  khuaamching
during	  knongamlongpel	  nailavangkan
hundred	  ry	  hony
five	  bram	  ha
remember	  changcham	  chu
step	  chomhan	  khanton
early	  daem	  ton
hold	  kan	  thu
west	  pheak khanglich	  phaktauaentok
ground	  dei	  din
interest	  karobrak	  mikhuaamsonchai
reach	  chhean dl	  samadbanlu
fast	  mean lbuen luen	  vai
verb	  keriyeasapt	  pha
sing	  chrieng	  hong
listen	  stab	  habfang
six	  bramuoy	  hok
table	  tarang	  tatalang
travel	  kar thveudamnaer	  kandoenthang
less	  tech	  nony
morning	  pruk	  naitonsao
ten	  db	  sib
simple	  samonhnh	  ngaidai
several	  cheachraen	  rai
vowel	  sr	  salasiang
toward	  chhpaohtow kan	  paisukantob
war	  sa ngrkeam	  songkham
lay	  dak	  kanchaduaang
against	  brachheang nung	  to
pattern	  koumrou	  hubaebb
slow	  yut	  sa
center	  k ntal	  sunkang
love	  kdei sraleanh	  khuaamhak
person	  mnoussaamnak	  bukkhon
money	  louy	  ngoen
serve	  bamreu	  bolikan
appear	  lechlaeng	  pakodva
road	  phlauv	  thanonhonthang
map	  phenti	  aephnthi
rain	  phlieng	  fontoknak
rule	  chbab	  kodlabiab
govern	  krobkrong	  ladthaban
pull	  teanh	  dung
cold	  chomngu phtasay	  yen
notice	  sechaktei choundamnoeng	  aechngkan
voice	  saamleng	  siang
energy	  thamopl	  phalangngan
hunt	  bramanh	  kanlasad
probable	  tomnng	  adcha
bed	  kre	  non
brother	  baaunobrosa	  ai
egg	  saout	  khai
ride	  chiah	  khabkheuon
cell	  kaoseka	  hong
believe	  chue	  seu
perhaps	  brahelcha	  bangthioadmi
pick	  yk	  ao
sudden	  rompech	  yangkathanhan
count	  reab	  nab
square	  kare	  monthon
reason	  moulheto	  hedphon
length	  braveng	  khuaamnyav
represent	  tamnang	  pentuaaethnkhong
art	  selb	  sinlapa
subject	  brathanobt	  visa
region	  tambn	  phakphun
size	  tomham	  khanad
vary	  khosaknea	  aetktangkan
settle	  daohsray	  aekkhai
speak	  niyeay	  vao
weight	  tom ng n	  noa
general	  toutow	  odnythouapai
ice	  tukakk	  kon
matter	  banhhea	  leuong
circle	  rongvong	  aephn paivongkom
pair	  kou	  khu
include	  ruomobanhchoul	  pakobmi
divide	  chek	  aebng
syllable	  pyeangk	  sungsud
felt	  mean arommo tha	  husukva
grand	  thom	  khongpu
ball	  bal	  ban
yet	  nowlaey te	  than
wave	  rolk	  khun
drop	  thleakchoh	  long
heart	  behdaung	  huachai
am	  pruk	  chao
present	  bachchobbann	  pachuban
heavy	  thngon	  yanghunaehng
dance	  kar roam	  kanten
engine	  measain	  kheuongchak
position	  titeang	  toaaenng
arm	  dai	  aekhn
wide	  touleay	  kuaang
sail	  baekakdaong	  pony
material	  samphear	  upakonkan
fraction	  braphak	  aet suannung
forest	  preichheu	  pamai
sit	  angkouy	  nang
race	  kar braneang	  seuosad
window	  bangauoch	  pongyiam
store	  hang	  han
summer	  now rdauv ktaw	  hon
train	  rothaphleung	  kanfukobhom
sleep	  kar dek	  non
prove	  bangheanh	  phisud
lone	  te	  kan
leg	  cheung	  kha
exercise	  kar thveu lomhat bran	  kkoalangkai
wall	  chonhcheang	  koaaephng
catch	  chab	  chab
mount	  phnom	  nyangphu
wish	  mean bamnng chng	  tongkan
sky	  mekh	  khao
board	  kromobroeksaea phibeal	  khana
joy	  sechakdei amnr	  khuaamsuk
winter	  rdauv rngea r	  ladunav
sat	  ra	  aelng
written	  ban sarser	  lai lkoakson
wild	  prei	  pathoamasad
instrument	  ubakar	  kheuongmu
kept	  roksaatouk	  kebhaksauaai
glass	  kanhchok	  aekv
grass	  smaw	  ja
cow	  ko	  ngua
job	  karngear	  viakhednganthoa
edge	  kem	  aekhb
sign	  sanhnhea	  akan
visit	  damnaer tossaankechch	  kanyiamyam
past	  ateitkal	  lainyaphanma
soft	  tn	  nkhongpa
fun	  pheap sabbayrikreay	  muan
bright	  phlu	  sodsai
gas	  usmn	  ai kaes
weather	  akasatheato	  dinfaoakad
month	  khe	  deuon
million	  lean neak	  lan
bear	  saum thleng	  habphidsob
finish	  banhchob	  soaledhub
happy	  rikreay	  mikhuaamsuk
hope	  sangkhum	  vangva
flower	  phka	  dok
clothe	  tomnouk bamroung	  kheuongnunghom
strange	  chamlek	  pe
gone	  ban yeang chakchenh tow	  mod
trade	  peanechchokamm	  kankha
melody	  bt	  vaipheu
trip	  kar thveudamnaer	  kandoenthang
office	  ka ri yea l	  hongkan
receive	  ttuol ban	  daihab
row	  chuordek	  kantidtokan
mouth	  meat	  pak
exact	  pitabrakd	  khuknoonytony
symbol	  nimittasanhnhea	  snaialak
die	  slab	  siasivid
least	  yeanghaochneasa	  yangnony
trouble	  banhhea	  banhanaikan
shout	  kar srek	  siang ohhong
except	  leuklengte	  nyokuaen
wrote	  sarser	  khian
seed	  pouch	  medphan
tone	  samleng	  otn
join	  chaulruom	  khaohuam
suggest	  phdal yobl	  naenoa
clean	  saat	  saoad
break	  samreak	  kanphakphon
lady	  strei	  pen
yard	  knong yard	  doen
rise	  kaenlaeng	  phoemkhun
bad	  akrak	  bodi
blow	  khleng haer	  sangkhuaamsiahai
oil	  breng	  noa
blood	  chheam	  leuod
touch	  bah	  tae
grew	  ban kaenlaeng	  phoemkhun
cent	  ry	  poesen
mix	  leay	  pasom
team	  kromkarngear	  thimngan
wire	  luosa	  sai
cost	  kar chamnay	  khasaichai
lost	  batbng	  kansunsia
brown	  tnaot	  sinoa
wear	  peak	  sai
garden	  suon	  kanhedsuan
equal	  smae	  theoathiamkan
sent	  ban phnhaer	  song
choose	  chreusa yk	  leuok
fell	  ban thleakchoh	  dairudlong
fit	  sam	  hemaa
flow	  haur	  hai
fair	  youttethmr	  khuaamnyutithoa
bank	  thneakear	  thanakhan
collect	  bramoul	  kebkoakho
save	  roksaatouk	  suanypayad
control	  kar truotpinity	  kankhuabkhum
decimal	  tosapheak	  adtaninyom
ear	  trachiek	  hu
else	  phsaengtiet	  un
quite	  chea karpit	  thikhonkhang
broke	  bak	  hak
case	  karnei	  kolani
middle	  k ntal	  kang
kill	  samleab	  kha
son	  kaunobrosa	  luksai
lake	  boeng	  lake
moment	  pel	  padchuban
scale	  khnat	  khanad
loud	  khlang	  dang
spring	  niteakhordauv	  phakhian
observe	  sangket	  sangkedboengkan
child	  kaunokmeng	  dek
straight	  trang	  su
consonant	  pyonhchon	  phanyansana
nation	  bratesa	  pathedsad
dictionary	  vochneanoukram	  kankhonha
milk	  tukdaohko	  oanom
speed	  lbuen	  khuaamuaai
method	  vithi sa sr t	  vithikan
organ	  sarirangk	  auaainyauaa
pay	  bng	  chai
age	  ayou	  aiusungsud
section	  phnek	  phak
dress	  samliekbampeak	  lailaoiad
cloud	  popk	  fang
surprise	  kar phnheakphaael	  aepkchai
quiet	  sngat	  ngiab
stone	  dom thm	  konhin
tiny	  tauch	  khanadnony
climb	  laeng	  husukmeuony
cool	  trachak	  yen
design	  karorochna	  kanookaebb
poor	  chn kreikr	  thuknyak
lot	  chraen	  rai
experiment	  pisaoth	  kanthodlong
bottom	  bat	  thanglum
key	  konluah	  thisoakhan
iron	  cheate dek	  thadheak
single	  now liv	  diav
stick	  chheu	  mai
flat	  phteahlveng	  hab phiangyu
twenty	  mphei	  sav
skin	  sbek	  phiuanang
smile	  snamonhnhum	  nyim
crease	  phnat	  phoemthavikhun
hole	  ronth	  khum
jump	  lot	  tenpaiha
baby	  teark	  deknony
eight	  brabei	  aepd
village	  phoumi	  ban
meet	  chuob	  kongpasum
root	  chea root	  hak
buy	  tinh	  su
raise	  bangkeun	  nyoksungbodbad
solve	  daohsray	  kanaekkhai
metal	  dek	  olha
whether	  tha tae	  bovachapen
push	  karchomrounh	  kansuknyu
seven	  chamnuon brapir	  ched
paragraph	  k tha khnd	  vak
third	  tibei	  thisam
shall	  nung	  cha
held	  leuk	  chadkhunnaivan
hair	  sak	  phom
describe	  pipnrnea	  athibai
cook	  chamen	  kan khuakin
floor	  chean	  san
either	  teang	  bovacha
result	  lotthophl	  phondaihab
burn	  dot	  haim
hill	  phnom	  phu
safe	  so votth pheap	  khuaampodphai
cat	  chhma	  aelng
century	  satavotsaa	  satavadthi
consider	  pichearna	  phichalana
type	  braphet	  paphed
law	  chbab	  kodmai
bit	  bantich	  nony
coast	  chhner	  aekhmfangthale
copy	  chbab chamlong	  soanao
phrase	  khlea	  paojk
silent	  sngiem	  ngiab
tall	  kamposa	  m
sand	  kar baum khsaach	  sai
soil	  dei	  din
roll	  vil choum	  muan
temperature	  sei to nha pheap	  unhaphum
finger	  mreamdai	  niuamukhong
industry	  ussaahakamm	  udsahakoa
value	  tamlei	  munkha
fight	  kar brayoutth	  kantosu
lie	  kohk	  non
beat	  phtuol	  rin hai koenaemn
excite	  rompheub	  tunten
natural	  thommocheate	  thoamasad
view	  tidthpheap	  boeng
sense	  yl	  khuaamhusuk
capital	  moulothn	  nakhonruang
won't	  nung min	  chabodai
chair	  kawei	  pathan
danger	  ah tha k	  antalai
fruit	  phlechheu	  makmai
rich	  saambaur beb	  udomsombun
thick	  krasa	  peuokna
soldier	  teahean	  sppl
process	  damnaerkar	  khabuankan
operate	  bratebatte kar	  patibadngan
practice	  karoanouvott	  kanpatibad
separate	  daoylek	  aenyktanghak
difficult	  kar lombak	  mikhuaamjungnyak
doctor	  kroupety	  thanmo
please	  saum	  kaluna
protect	  karpar	  pokpakhaksa
noon	  thngaitrang	  tonthiang
crop	  damnam	  kanpukphud
modern	  samy tomneub	  thithansahaim
element	  theato	  ongpakobkhong
hit	  bok	  monti
student	  sessa	  naksuksa
corner	  chroung	  aech
party	  konabaksa	  phak
supply	  kar phkatphkang	  kansanong
whose	  del	  thi
locate	  titeang	  sathanthi
ring	  chenhchien	  vong
character	  tuoaksaar	  laksana
insect	  satvalait	  aemngmai
caught	  chabban	  chabdai
period	  amlong pel	  lainyauaela
indicate	  bangheanhtha	  sibok
radio	  vityou	  vithanyu
spoke	  niyeay	  daiuaaothoeng
atom	  ataum	  pa loamanu
human	  mnoussa	  manud
history	  bravotte sa sr t	  pavadsad
effect	  phl bahpeal	  phonkathob
electric	  akkisani	  faifa
expect	  rompung tha nung mean	  khad vangvakan
bone	  chhaoeng	  kaduk
rail	  phlauv rothaphleung	  langlodfai
imagine	  sramei	  chintanakan
provide	  phtal nouv kar	  sanongkan
agree	  ylprom	  toklonghendi
thus	  dauchneh	  dangnankan
gentle	  sophap reab	  nnom
woman	  srti mneak	  aemnying
captain	  brathan krom	  naiheu
guess	  teay	  hid
necessary	  chabach	  mikhuaamchoapen
sharp	  sruoch	  aerm
wing	  slab	  pik
create	  bangkeut	  sang
neighbor	  anakchitkheang	  bankaiheuonkhiang
wash	  leang sa meat	  kanlang
bat	  kromhoun thnachk	  chia
rather	  chea	  aethnthicha
crowd	  hvaung mnoussa	  thiaeoad
corn	  pot	  sali
compare	  briebthieb	  somthiab
poem	  kamnapy	  doe
string	  khsae aksaar	  sonyaen
bell	  kandoeng	  lakhang
depend	  asry	  khun
meat	  sach	  sin
rub	  loub	  thu
tube	  bampng	  tho
famous	  da lbilbanh	  misusiang
dollar	  brak dollar	  ngoenodla
stream	  strim	  noa
fear	  karphyokhlach	  khuaamyankua
sight	  meulkheunh	  saita
thin	  staeng	  bang
triangle	  treikaon	  sam riam
planet	  phopphen dei	  dav
hurry	  branhab	  dai
chief	  brathan	  huana
colony	  ananikm	  kvang
clock	  nealeka	  omng
mine	  a ntau ngre	  khudkhonboaeh
tie	  smae	  vad
enter	  chaul	  khao
major	  da saamkhan muoy	  thisoakhan
fresh	  srasa	  sod
search	  svengork	  kankhonha
send	  phnhae	  song
yellow	  lueng	  siheuong
gun	  kaphleung	  pun
allow	  anounhnhat aoy	  anunyadhai
print	  baohpoump	  kanphim
dead	  slab	  kantai
spot	  kanleng	  chud
desert	  vealokhsaach	  thalesai
suit	  chhout	  sud
current	  bachchobbann	  naipachuban
lift	  kar leuk	  nyok
rose	  ban kaenlaeng	  phoemkhun
arrive	  mokadl	  mahod
master	  me	  aembod
track	  bt	  kantidtam
parent	  me	  phoaem
shore	  chrang	  aekhmfang
division	  phnek	  phaaenk
sheet	  sanluk	  ekasan
substance	  sarthato	  sansebtid
favor	  anoukroh	  euooanuany
connect	  kar taphcheab	  seuomto
post	  kraoy	  tob
spend	  chamnay	  saiuaela
chord	  angkotthnou	  kan
fat	  cheate khlanh	  khaiman
glad	  rikreay	  dichai
original	  daem	  tonsabab
share	  chamnek	  hun
station	  stha ni	  sathani
dad	  aupouk	  pho
bread	  nombong	  khaochi
charge	  sak	  laioao
proper	  ban troemotrauv	  thihemaasom
bar	  rbar	  phathanaikhuaam
offer	  kar phtal choun	  kansaheni
segment	  chamriek	  ton
slave	  teasakr	  long
duck	  tea	  ped
instant	  bantean	  tua
market	  tiphsaear	  kantarad
degree	  sanhnheabtr	  la dab
populate	  phtok	  alana
chick	  chick	  thanglai Chick
dear	  cheatisrleanh	  hakaephng
enemy	  satrauv	  sadtu
reply	  chhlaeyotb	  tob
drink	  phesachch	  kheuongdum
occur	  kaetmeanlaeng	  koedkhun
support	  kar keatr	  sanabsanun
speech	  sontoroktha	  pakuaao khid
nature	  thommocheate	  laksana
range	  chuor	  ladab
steam	  chamhay	  khom
motion	  chalnea	  kan
path	  phlauv	  senthang
liquid	  reav	  khongaerv
log	  chaul	  khao
meant	  meannytha	  maikhuaamva
quotient	  phalchek	  padchai
teeth	  thmenh	  aekhv
shell	  sel	  hony
neck	  k	  kho
oxygen	  ok sai sen	  ok si chenthi
sugar	  cheate skar	  oatan
death	  kar slab	  kansiasivid
pretty	  saat	  aphoaemn
skill	  chomneanh	  simuaehngngan
women	  strei	  aemnying
season	  rdauv kal	  ladukan
solution	  damnaohsray	  kanaekkhai
magnet	  medek	  kan sakodchid
silver	  brak	  ngoen
thank	  thlengamnarkoun	  khokhobchai
branch	  sakha	  sakha
match	  karobrakuot	  khoava
suffix	  bachchy	  suffix
especially	  cheapisesa	  odnysaphoaemn
fig	  lvea	  sav
afraid	  khlach	  khuaamyankua
huge	  da thom	  pe
sister	  bangosrei	  euony
steel	  dektheb	  heak
discuss	  pipheaksaea	  puksahalu
forward	  towmoukh	  to
similar	  sradiengoknea	  thikhaikhukan
guide	  nenam	  noa
experience	  bt pisaoth na	  pasobkan
score	  pintou	  khaaenn
apple	  phle baom	  chak nak aeobpoe
bought	  tinh	  su
led	  doeknoam	  kannoapha
pitch	  tilean brakuot	  pitch
coat	  thna kaut	  peuok humnok
mass	  da thom	  tangmahason
card	  kat	  bad
band	  krom	  aethb
rope	  mintean mean chbab brachheang	  seuok
slip	  bnn	  khuaamphidphadphiang
win	  chyochomneah	  saisana
dream	  so be nt	  fan
