as	  pen	  Pen
sure	  haiaenchaiva	  naeci
watch	  sangkedboeng	  chm
color	  si	  si
face	  baina	  bihna
wood	  mai	  neuxmi
main	  tonto	  hlak
open	  poed	  peid
seem	  boengkhuva	  duhemuxn
together	  huamkan	  khea dwy kan
next	  topai	  tx pi
white	  sikhav	  si khaw
children	  deknony	  dek
begin	  loemton	  reim tn
got	  daihab	  di
walk	  nyang	  dein
example	  kannyoktuayang	  tawxyang chen
ease	  khuaam ngaikhong	  brrthea
paper	  cheny	  kradas?
group	  kum	  klum
always	  sahemipai	  semx
music	  donti	  phelng
those	  phu	  phu thi
both	  thangsong	  thang sxng
mark	  kheuongmai	  kheruxnghmay
often	  mak	  mak ca
letter	  chodmaisabab	  cdhmay
until	  chonkuaa	  cnkrathang
mile	  mai	  mil
river	  noa	  maena
car	  lod	  rth
feet	  tin	  fut
care	  kanduael	  kar dulae
second	  khangthisong	  thi sxng
enough	  phiangpho	  phx
plain	  thongphiang	  thrrmda
girl	  sav	  saw
usual	  pokkati	  pkti
young	  num	  hnum
ready	  phom	  phrxm laew
above	  khangthoeng	  khang bn
ever	  khoeny	  khey
red	  siaedng	  si daeng
list	  bansilaisu	  raykar
though	  thoengaemnva	  maewa
feel	  khuaamhusuk	  rusuk
talk	  kansonthana	  phud khuy
bird	  noksanid	  nk
soon	  vai theoathicha	  rew <<ni
body	  hangkai	  rangkay
dog	  ma	  sunakh
family	  khobkhua	  khrxbkhraw
direct	  odnykong	  doytrng
pose	  sang	  thathang
leave	  kchak	  xxk cak
song	  pheng	  phelng
measure	  kanvadaethk	  wad
door	  patu	  pratu
product	  phalidtaphan	  phlitphanth
black	  sidoa	  sida
short	  san	  san
numeral	  choanuanlai	  tawlekh
class	  honghian	  chan
wind	  phalangnganlom	  lm
question	  khoatham	  khatham
happen	  mijangkoedkhun	  keid khun
complete	  soaledsombun	  smburn
ship	  kankhonsong	  reux
area	  khedphunthi	  phunthi
half	  khoengnung	  khrung
rock	  hin	  hin
order	  khoasang	  Pheux
fire	  fai	  fi him
south	  khedphaktai	  thang txn ti
problem	  banha	  payha
piece	  sin	  chin swn
told	  bok	  bxk
knew	  hu	  ru
pass	  phan	  phan
since	  nabtangaet	  tangtae
top	  thangthoeng	  dan bn
whole	  thangmod	  thang
king	  khon	  ks?atriy
street	  thanonhonthang	  thnn
inch	  niv	  niw
multiply	  viphonpaojd	  khun
nothing	  bomijang	  mimi xari
course	  aennon	  naenxn
stay	  yu	  phak xyu
wheel	  khablod	  lx
full	  yangtemthi	  tem
force	  phonbangkhabsai	  raeng
blue	  sifa	  si fa
object	  chudpasong	  watthu
decide	  tadsinchai	  tadsinci
surface	  dan	  phun phiw
deep	  loek	  luk
moon	  vongdeuon	  dwng canthr
island	  ko	  keaa
foot	  tin	  thea
system	  labob	  rabb
busy	  thulakid	  yung
test	  kanthodsob	  kar thdsxb
record	  kanbanthuk	  banthuk
boat	  heu	  reux
common	  thouapai	  thi phb bxy
gold	  khoa	  thxng
possible	  penpaidai	  pen pi di
plane	  nyon	  kheruxngbin
stead	  singthi samad noakabma	  thaen
dry	  aehngaelng	  haeng
wonder	  sing mahad	  mi na paelk ci
laugh	  hualin	  hawreaa
thousand	  phan	  phan
ago	  konnani	  thi phan ma
ran	  daiaeln	  wing
check	  haikuadboeng	  trwc sxb
game	  kem	  kem
shape	  hubhang	  ruprang
equate	  venook	  thux xea
hot	  hon	  rxn
miss	  phad	  phlad
brought	  dainoaoao	  na
heat	  khuaamhon	  khwam rxn
snow	  hima	  hima
tire	  meuony	  yang
bring	  aomahai	  na ma sung
yes	  aemnaelv	  chi
distant	  hangkai	  thi hang kil
fill	  tum khomunsai	  krxk
east	  phaktauaenook	  thang this tawanxxk
paint	  thasi	  thasi
language	  phasa	  phas?a
among	  naibanda	  ni hmu
unit	  nuanybolikan	  hnwy
power	  phalangngan	  xanac
town	  tuameuong	  meuxng
fine	  andingam	  prab
certain	  saphodainung	  bang xyang
fly	  bin	  bin
fall	  toklong	  tk
lead	  noapaisukan	  na pi su
cry	  hai	  rxnghi
dark	  soa	  mud
machine	  kheuong	  kheruxng
note	  maihed	  banthuk
wait	  lotha	  rx sak khru
plan	  aephnkan	  phaen
figure	  hub	  rup thi
star	  dav	  daw
box	  mai sainaipong	  klxng
noun	  phasa	  kha nam
field	  phaksanam	  snam
rest	  suanthiheu	  swn thi helux
correct	  pai	  thuk txng
able	  samad	  samarth
pound	  ponkab	  pxnd
done	  hed	  serc laew
beauty	  khuaamngam	  khwam ngam
drive	  khab	  dirf
stood	  daiyunyu	  yun xyu
contain	  banchu	  mi
front	  na	  danhna
teach	  son	  sangsxn
week	  athid	  sapdah thi
final	  sudthai	  sudthay
gave	  hai	  hi
green	  sikhiav	  si kheiyw
oh	  ony	  xo
quick	  vai	  xyang rwdrew
develop	  kanphadthana	  kar phat?hna
ocean	  mahasamud	  mhasmuthr
warm	  obun	  xbxun
free	  nlain	  fri
minute	  nathi	  nathi
strong	  thikhemaekhng	  thi khaengkaerng
special	  phised	  phises?
mind	  chai	  citci
behind	  lang	  thi xyu beuxnghlang
clear	  chaaechng	  thi chadcen
tail	  hang	  hang
produce	  phalidtaphan	  phlit
fact	  khuaamching	  khwam pen cring
space	  song	  phunthi
heard	  dainyin	  diyin
best	  thidithisud	  thi di thisud
hour	  souaomng	  chawmong
better	  dikva	  thi di kwa
true	  khuaamching	  thithae cring
during	  nailavangkan	  ni chwng
hundred	  hony	  rxy
five	  ha	  ha
remember	  chu	  ca di wa
step	  khanton	  khan txn thi
early	  ton	  txn tn
hold	  thu	  thux
west	  phaktauaentok	  thang this tawantk
ground	  din	  phun din
interest	  mikhuaamsonchai	  thi na snci
reach	  samadbanlu	  kheathung
fast	  vai	  xyang rwdrew
verb	  pha	  kha kriya
sing	  hong	  rxngphelng
listen	  habfang	  fang
six	  hok	  hk
table	  tatalang	  tarang
travel	  kandoenthang	  kar deinthang
less	  nony	  nxy
morning	  naitonsao	  txn chea
ten	  sib	  sib
simple	  ngaidai	  ngay
several	  rai	  hlay
vowel	  salasiang	  sra
toward	  paisukantob	  tx
war	  songkham	  sngkhram
lay	  kanchaduaang	  wang
against	  to	  kab
pattern	  hubaebb	  lwdlay
slow	  sa	  cha
center	  sunkang	  suny
love	  khuaamhak	  khwam rak
person	  bukkhon	  khn
money	  ngoen	  ngein
serve	  bolikan	  hi brikar
appear	  pakodva	  prakt
road	  thanonhonthang	  thnn
map	  aephnthi	  phaenthi
rain	  fontoknak	  fn
rule	  kodlabiab	  kd
govern	  ladthaban	  khwbkhum
pull	  dung	  dung
cold	  yen	  yen
notice	  aechngkan	  caeng hi thrab lwnghna
voice	  siang	  seiyng
energy	  phalangngan	  phlangngan
hunt	  kanlasad	  la
probable	  adcha	  na ca pen
bed	  non	  teiyng
brother	  ai	  phi chay khxng
egg	  khai	  khi
ride	  khabkheuon	  nang
cell	  hong	  sell
believe	  seu	  cheux
perhaps	  bangthioadmi	  bangthi xac ca pen
pick	  ao	  leuxk
sudden	  yangkathanhan	  chabphlan
count	  nab	  nab
square	  monthon	  tarang
reason	  hedphon	  hetuphl thi
length	  khuaamnyav	  raya wela
represent	  pentuaaethnkhong	  pen tawthaen khxng
art	  sinlapa	  silpa
subject	  visa	  reuxng
region	  phakphun	  phumiphakh
size	  khanad	  khnad
vary	  aetktangkan	  taek tang
settle	  aekkhai	  chara
speak	  vao	  phud
weight	  noa	  nahnak
general	  odnythouapai	  thawpi
ice	  kon	  nakhaeng
matter	  leuong	  reuxng
circle	  aephn paivongkom	  wngklm
pair	  khu	  khu
include	  pakobmi	  prakxbdwy
divide	  aebng	  baeng
syllable	  sungsud	  phyangkh
felt	  husukva	  rusuk wa
grand	  khongpu	  ying hiy
ball	  ban	  luk
yet	  than	  yang
wave	  khun	  khlun
drop	  long	  hln
heart	  huachai	  kar ten khxng hawci
am	  chao	  am
present	  pachuban	  paccuban
heavy	  yanghunaehng	  hnak
dance	  kanten	  kar tenra
engine	  kheuongchak	  kheruxngynt
position	  toaaenng	  tahaenng
arm	  aekhn	  khaen
wide	  kuaang	  kwang
sail	  pony	  laen reux
material	  upakonkan	  wasdu
fraction	  aet suannung	  swn
forest	  pamai	  pa
sit	  nang	  nang
race	  seuosad	  kar khaengkhan
window	  pongyiam	  hnatang
store	  han	  kar cad keb
summer	  hon	  vdu rxn
train	  kanfukobhom	  rthfi
sleep	  non	  kar nxn hlab
prove	  phisud	  phisucn
lone	  kan	  khn deiyw
leg	  kha	  kha
exercise	  kkoalangkai	  kar xxkkalang kay
wall	  koaaephng	  phnang
catch	  chab	  cab
mount	  nyangphu	  phukhea
wish	  tongkan	  hwang wa
sky	  khao	  thxngfa
board	  khana	  khna krrmkar
joy	  khuaamsuk	  khwam sukh
winter	  ladunav	  vdu hnaw
sat	  aelng	  nang
written	  lai lkoakson	  kheiyn
wild	  pathoamasad	  pa
instrument	  kheuongmu	  kheruxngmux
kept	  kebhaksauaai	  keb wi
glass	  aekv	  kaew
grass	  ja	  hya
cow	  ngua	  waw
job	  viakhednganthoa	  ngan
edge	  aekhb	  khxb
sign	  akan	  khea su rabb
visit	  kanyiamyam	  kar yeiym chm
past	  lainyaphanma	  thi phan ma
soft	  nkhongpa	  xxn
fun	  muan	  snuk
bright	  sodsai	  sdsi
gas	  ai kaes	  kas
weather	  dinfaoakad	  sphaph xakas
month	  deuon	  deuxn
million	  lan	  lan
bear	  habphidsob	  baek
finish	  soaledhub	  serc
happy	  mikhuaamsuk	  mi khwam sukh
hope	  vangva	  hwang wa
flower	  dok	  dxkmi
clothe	  kheuongnunghom	  tktaeng
strange	  pe	  paelk
gone	  mod	  hay pi
trade	  kankha	  kar kha
melody	  vaipheu	  melodi
trip	  kandoenthang	  kar deinthang
office	  hongkan	  sanakngan
receive	  daihab	  di rab
row	  kantidtokan	  thaew
mouth	  pak	  pak
exact	  khuknoonytony	  thi naenxn
symbol	  snaialak	  saylaks?n
die	  siasivid	  tay
least	  yangnony	  xyang nxy
trouble	  banhanaikan	  payha
shout	  siang ohhong	  takon
except	  nyokuaen	  ykwen
wrote	  khian	  kheiyn
seed	  medphan	  meld phanthu
tone	  otn	  thon
join	  khaohuam	  rwm
suggest	  naenoa	  khx naeana hi
clean	  saoad	  thakhwam saxad
break	  kanphakphon	  thalay
lady	  pen	  suphaphstri
yard	  doen	  lan
rise	  phoemkhun	  luk khun
bad	  bodi	  mi di
blow	  sangkhuaamsiahai	  rabeid
oil	  noa	  naman
blood	  leuod	  leuxd
touch	  tae	  taea
grew	  phoemkhun	  pheim khun
cent	  poesen	  rxy la
mix	  pasom	  phsm
team	  thimngan	  thI mngan
wire	  sai	  lwd
cost	  khasaichai	  kha chi cay
lost	  kansunsia	  hay pi
brown	  sinoa	  si natal
wear	  sai	  swm si
garden	  kanhedsuan	  swn
equal	  theoathiamkan	  thea kan
sent	  song	  sng
choose	  leuok	  leuxk
fell	  dairudlong	  ldlng
fit	  hemaa	  phxdi
flow	  hai	  hil
fair	  khuaamnyutithoa	  yutithrrm
bank	  thanakhan	  thnakhar
collect	  kebkoakho	  kar keb rwbrwm
save	  suanypayad	  banthuk
control	  kankhuabkhum	  kar khwbkhum
decimal	  adtaninyom	  thsniym
ear	  hu	  hu
else	  un	  xun
quite	  thikhonkhang	  khxnkhang
broke	  hak	  yakcn
case	  kolani	  krni
middle	  kang	  trng klang
kill	  kha	  kha
son	  luksai	  butr chay
lake	  lake	  thalesab
moment	  padchuban	  khna
scale	  khanad	  khnad
loud	  dang	  seiyng dang
spring	  phakhian	  vdu bimi phli
observe	  sangkedboengkan	  sangket
child	  dek	  dek
straight	  su	  trng
consonant	  phanyansana	  phyaychna
nation	  pathedsad	  pratheschati
dictionary	  kankhonha	  phcnanukrm
milk	  oanom	  nm
speed	  khuaamuaai	  khwamrew
method	  vithikan	  withi kar
organ	  auaainyauaa	  xwaywa
pay	  chai	  cay
age	  aiusungsud	  xayu
section	  phak	  swn
dress	  lailaoiad	  kar taeng kay
cloud	  fang	  mekh
surprise	  aepkchai	  paelk ci
quiet	  ngiab	  ngeiyb sngb
stone	  konhin	  hin
tiny	  khanadnony	  ciw
climb	  husukmeuony	  pin
cool	  yen	  yen
design	  kanookaebb	  xxkbaeb
poor	  thuknyak	  thi na sngsar
lot	  rai	  slak
experiment	  kanthodlong	  kar thdlxng
bottom	  thanglum	  dan lang
key	  thisoakhan	  thi sakhay
iron	  thadheak	  helk
single	  diav	  deiyw
stick	  mai	  tid
flat	  hab phiangyu	  baen
twenty	  sav	  yisib
skin	  phiuanang	  phiw
smile	  nyim	  rxy yim
crease	  phoemthavikhun	  rxy phab
hole	  khum	  hlum
jump	  tenpaiha	  kradod
baby	  deknony	  thark
eight	  aepd	  paed
village	  ban	  hmuban
meet	  kongpasum	  txb snxng khwam
root	  hak	  rak
buy	  su	  sux
raise	  nyoksungbodbad	  yk
solve	  kanaekkhai	  kae
metal	  olha	  loha
whether	  bovachapen	  mi wa ca pen
push	  kansuknyu	  kar phlak dan
seven	  ched	  ced
paragraph	  vak	  wrrkh
third	  thisam	  thi sam
shall	  cha	  ca txng
held	  chadkhunnaivan	  chu
hair	  phom	  phm
describe	  athibai	  xthibay
cook	  kan khuakin	  prung xahar
floor	  san	  chan
either	  bovacha	  xyang di xyang hnung
result	  phondaihab	  phl
burn	  haim	  phea
hill	  phu	  nein khea
safe	  khuaampodphai	  khwam plxdphay
cat	  aelng	  maew
century	  satavadthi	  stwrrs? thi
consider	  phichalana	  phicarna
type	  paphed	  chnid
law	  kodmai	  kdhmay
bit	  nony	  bit
coast	  aekhmfangthale	  chayfang
copy	  soanao	  sanea
phrase	  paojk	  wli
silent	  ngiab	  ngeiyb
tall	  m	  sung
sand	  sai	  thray
soil	  din	  din
roll	  muan	  mwn
temperature	  unhaphum	  xunhphumi
finger	  niuamukhong	  lay niw mux
industry	  udsahakoa	  xutsahkrrm
value	  munkha	  mulkha
fight	  kantosu	  su
lie	  non	  kohk
beat	  rin hai koenaemn	  xeachna
excite	  tunten	  tunten
natural	  thoamasad	  thrrmchati
view	  boeng	  mum mxng
sense	  khuaamhusuk	  khwam rusuk
capital	  nakhonruang	  thun
wont	  chabodai	  ca mi
chair	  pathan	  keaxi
danger	  antalai	  xantray
fruit	  makmai	  phl mi
rich	  udomsombun	  xudm pi dwy
thick	  peuokna	  hna
soldier	  sppl	  thhar
process	  khabuankan	  krabwnkar
operate	  patibadngan	  danein kar
practice	  kanpatibad	  kar ptibati
separate	  aenyktanghak	  yaek tanghak
difficult	  mikhuaamjungnyak	  yak
doctor	  thanmo	  phaethy
please	  kaluna	  kruna
protect	  pokpakhaksa	  pxngkan
noon	  tonthiang	  theiyng
crop	  kanpukphud	  kar pheaa pluk
modern	  thithansahaim	  thi thansmay
element	  ongpakobkhong	  xngkhprakxb
hit	  monti	  ti
student	  naksuksa	  nakreiyn
corner	  aech	  mum
party	  phak	  bukhkhl thi
supply	  kansanong	  xupthan
whose	  thi	  khir
locate	  sathanthi	  khnha
ring	  vong	  haewn
character	  laksana	  taw xaks?r
insect	  aemngmai	  maelng
caught	  chabdai	  cab
period	  lainyauaela	  raya wela
indicate	  sibok	  saedng
radio	  vithanyu	  withyu
spoke	  daiuaaothoeng	  phud
atom	  pa loamanu	  xatxm
human	  manud	  mnus?y
history	  pavadsad	  prawatisastr
effect	  phonkathob	  phlk ra thb
electric	  faifa	  fifa
expect	  khad vangvakan	  khad hwang wa
bone	  kaduk	  kraduk
rail	  langlodfai	  thang rthfi
imagine	  chintanakan	  cintnakar
provide	  sanongkan	  hi
agree	  toklonghendi	  tklng
thus	  dangnankan	  dangnan
gentle	  nnom	  xxnyon
woman	  aemnying	  hying
captain	  naiheu	  kaptan
guess	  hid	  dea
necessary	  mikhuaamchoapen	  capen
sharp	  aerm	  khm chad
wing	  pik	  pik
create	  sang	  srang
neighbor	  bankaiheuonkhiang	  pheuxnban
wash	  kanlang	  lang
bat	  chia	  khangkhaw
rather	  aethnthicha	  khxnkhang
crowd	  thiaeoad	  fung chn
corn	  sali	  khawphod
compare	  somthiab	  periybtheiyb
poem	  doe	  bth kwi
string	  sonyaen	  string
bell	  lakhang	  rakhang
depend	  khun	  khun xyu
meat	  sin	  neux
rub	  thu	  thu
tube	  tho	  hlxd
famous	  misusiang	  thi michuxseiyng
dollar	  ngoenodla	  dxl la
stream	  noa	  krasae
fear	  khuaamyankua	  khwam klaw
sight	  saita	  sayta
thin	  bang	  bang
triangle	  sam riam	  samheliym
planet	  dav	  dawkheraah
hurry	  dai	  rib
chief	  huana	  hawhna
colony	  kvang	  xananikhm
clock	  omng	  nalika
mine	  khudkhonboaeh	  hemuxng
tie	  vad	  phuk nekh thi
enter	  khao	  si
major	  thisoakhan	  sakhay
fresh	  sod	  sd
search	  kankhonha	  khnha
send	  song	  sng
yellow	  siheuong	  si heluxng
gun	  pun	  pun
allow	  anunyadhai	  xnuyat hi
print	  kanphim	  phimph
dead	  kantai	  thi tay laew
spot	  chud	  cud
desert	  thalesai	  thalethray
suit	  sud	  suth
current	  naipachuban	  paccuban
lift	  nyok	  lifth
rose	  phoemkhun	  dxk kuhlab
arrive	  mahod	  ma thung
master	  aembod	  priyya tho
track	  kantidtam	  tidtam
parent	  phoaem	  phu pkkhrxng
shore	  aekhmfang	  fang
division	  phaaenk	  swn
sheet	  ekasan	  phaen
substance	  sansebtid	  sar
favor	  euooanuany	  chxb
connect	  seuomto	  cheuxm tx
post	  tob	  sea
spend	  saiuaela	  chi cay
chord	  kan	  khxrd
fat	  khaiman	  khiman
glad	  dichai	  dici
original	  tonsabab	  deim
share	  hun	  swn baeng
station	  sathani	  sthani
dad	  pho	  phx
bread	  khaochi	  khnmpang
charge	  laioao	  khid kha chi cay
proper	  thihemaasom	  thi hemaasm
bar	  phathanaikhuaam	  bar
offer	  kansaheni	  senx
segment	  ton	  swn
slave	  long	  thas
duck	  ped	  ped
instant	  tua	  thanthi
market	  kantarad	  tlad
degree	  la dab	  xngsa
populate	  alana	  teim
chick	  thanglai Chick	  ceiyb
dear	  hakaephng	  thirak
enemy	  sadtu	  satru
reply	  tob	  txb
drink	  kheuongdum	  kheruxng dum
occur	  koedkhun	  keid khun
support	  sanabsanun	  snabsnun
speech	  pakuaao khid	  kha phud
nature	  laksana	  thrrmchati
range	  ladab	  chwng
steam	  khom	  xi na
motion	  kan	  kar kheluxnhiw
path	  senthang	  senthang
liquid	  khongaerv	  khxnghelw
log	  khao	  khea su rabb
meant	  maikhuaamva	  hmaykhwam wa
quotient	  padchai	  cheawn
teeth	  aekhv	  fan
shell	  hony	  peluxk
neck	  kho	  khx
oxygen	  ok si chenthi	  xxksicen
sugar	  oatan	  natal
death	  kansiasivid	  khwam tay
pretty	  aphoaemn	  swy
skill	  simuaehngngan	  thaks?a
women	  aemnying	  phuhying
season	  ladukan	  vdu
solution	  kanaekkhai	  kar kae payha
magnet	  kan sakodchid	  maehelk
silver	  ngoen	  si ngein
thank	  khokhobchai	  khx khxbkhun
branch	  sakha	  sakha
match	  khoava	  kar khaengkhan
suffix	  suffix	  tx thay
especially	  odnysaphoaemn	  doy chephaa xyang ying
fig	  sav	  madeux
afraid	  khuaamyankua	  klaw
huge	  pe	  hiy
sister	  euony	  nxng saw khxng
steel	  heak	  helk
discuss	  puksahalu	  harux keiyw kab
forward	  to	  khang hna
similar	  thikhaikhukan	  khlaykhlung kan
guide	  noa	  naeana
experience	  pasobkan	  prasbkarn
score	  khaaenn	  khanaen
apple	  chak nak aeobpoe	  xaeppeil
bought	  su	  sux
led	  kannoapha	  na
pitch	  pitch	  snam
coat	  peuok humnok	  seux khoth
mass	  tangmahason	  mwl
card	  bad	  batr
band	  aethb	  wng dntri
rope	  seuok	  cheuxk
slip	  khuaamphidphadphiang	  lun
win	  saisana	  chna
dream	  fan	  fan
evening	  tonaelng	  txn yen
condition	  saphabkan	  sphaph
feed	  ahan	  xahar satw
tool	  kheuongmu	  kheruxngmux
total	  choanuanthangmod	  thanghmd
basic	  khanphunthan	  khan phunthan
smell	  kan mi kinhom	  klin
valley	  homphu	  hubkhea
nor	  ru	  hrux
double	  song	  sxng
seat	  bonnang	  thinang
continue	  subto	  danein kar tx pi
block	  tan	  blxk
chart	  tatalang	  phaenphumi
hat	  lik	  hmwk
sell	  khai	  khay
success	  phonsoaled	  prasb khwam sarec
company	  bolisad	  bris?ath
subtract	  kan haklob	  lb
event	  kolanithi	  hetukarn
particular	  odnysapho	  doy chephaa xyang ying
deal	  deal	  khx tklng
swim	  neuothiheuok	  kar way na
term	  nailainya	  raya
opposite	  kongkankham	  trng kham
wife	  phanlanyakhong	  phrrya
shoe	  nam	  rxngthea
shoulder	  ba	  hil
spread	  kanaephkachai	  kar phaer kracay
arrange	  chad	  cad
camp	  khai	  khay
invent	  daipan	  khidkhn
